Fault,Va,Vb,Vc,Ia,Ib,Ic
Healthy,-474860.5807,765930.0929,-291069.5122,371.5520703,66.69578794,-438.2478582
Healthy,-530183.595,752544.9013,-222361.3063,342.4652052,110.4048983,-452.8701036
Healthy,-580800.6655,732480.0683,-151679.4028,310.3380843,153.1341133,-463.4721976
Healthy,-626262.5114,705913.6908,-79651.17935,275.4558701,194.5041653,-469.9600354
Healthy,-666165.6103,673081.5738,-6915.963518,238.1281798,234.1478507,-472.2760305
Healthy,-700155.7793,634275.1376,65880.64176,198.6863364,271.7132895,-470.3996259
Healthy,-727931.3194,589838.8307,138092.4887,157.4804286,306.8670482,-464.3474768
Healthy,-749245.6928,540167.0731,209078.6197,114.876203,339.2970994,-454.1733024
Healthy,-763909.7117,485700.7547,278208.9571,71.25181761,368.7155918,-439.9674095
Healthy,-771793.2173,426923.3225,344869.8948,26.99448567,394.8614048,-421.8558905
Healthy,-772826.2349,364356.489,408469.7459,-17.50296164,417.5024662,-399.9995046
Healthy,-766999.5954,298555.602,468443.9934,-61.84556183,436.4378124,-374.5922506
Healthy,-754365.0165,230104.7147,524260.3017,-105.6397268,451.499372,-345.8596451
Healthy,-735034.6436,159611.4022,575423.2414,-148.4967365,462.5534573,-314.0567208
Healthy,-709180.0545,87701.36795,621478.6865,-190.0361891,469.5019517,-279.4657626
Healthy,-677030.7363,15012.8906,662017.8457,-229.8893774,472.2831798,-242.3938024
Healthy,-638872.0486,-57808.84181,696680.8904,-267.7025616,470.8724551,-203.1698935
Healthy,-595042.6907,-130117.4584,725160.1491,-303.1401094,465.2822995,-162.1421901
Healthy,-545931.6951,-201271.1428,747202.8379,-335.8874745,455.5623314,-119.6748569
Healthy,-491974.9743,-270638.3299,762613.3042,-365.653989,441.7988261,-76.14483716
Healthy,-433651.4522,-337603.3116,771254.7638,-392.1754431,424.1139494,-31.93850628
Healthy,-371478.8124,-401571.7019,773050.5143,-415.2164307,402.6646735,12.55175719
Healthy,-306008.9036,-461975.713,767984.6166,-434.5724381,377.6413836,56.93105451
